name,jingweidu
上海市温州路新闸路北约0米,"121.469510,31.238519"
上海市光启南路进复兴东路南约50米,"121.494274,31.221906"
上海市黄陂北路进江阴路北约10米,"121.471169,31.228898"
上海市复兴东路中华路（东）西约0米,"121.499053,31.220938"
上海市浙江中路厦门路南约5米,"121.476568,31.239776"
上海市丽园路进局门路东约100米,"121.474898,31.204976"
上海市永宁街学前街西约20米,"121.489497,31.216054"
上海市河南中路南京东路南约6米,"121.484959,31.237608"
上海市斜土路鲁班路东约15米,"121.475189,31.203040"
上海市建国西路出瑞金二路东约200米,"121.466671,31.208518"
上海市丽园路制造局路西约50米,"121.483357,31.208771"
上海市方斜路大吉路北约20米,"121.482614,31.213365"
上海市中山东一路滇池路东约5米,"121.489997,31.239309"
上海市福州路西藏中路东约5米,"121.476357,31.231550"
上海市丽园路出制造局路西约80米,"121.483357,31.208771"
上海市长乐路成都南路东约00米,"121.467617,31.221925"
上海市方斜路陆家浜路北约11米,"121.483099,31.211497"
上海市大吉路西藏南路东约30米,"121.485267,31.214510"
上海市中华路金坛路南约0米,"121.498501,31.218872"
上海市河南中路延安东路北约6米,"121.486615,31.231183"
上海市西藏南路大林路北约0米,"121.485817,31.212603"
上海市普安路桃源路北约80米,"121.477854,31.223817"
上海市复兴中路出瑞金二路西约50米,"121.465156,31.214860"
上海市方浜中路出人民路东约7米,"121.489175,31.224437"
上海市瞿溪路西藏南路西约50米,"121.488635,31.203733"
上海市瑞金二路进永嘉路东约20米,"121.464587,31.215819"
